    NC_len         C1         C2         C3         C4         C5         C6         C7         C8         C9        JSD
        21     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 
        22     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 
        23     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 
        24     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 
        25     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 
        26     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 
        27     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 
        28     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 
        29     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 
        30     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 
        31     0.0141     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0141 
        32     0.0103     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0101 
        33     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0008 
        34     0.0229     0.0523     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0331 
        35     0.0099     0.0198     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0159 
        36     0.0136     0.0168     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0182 
        37     0.0070     0.0569     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0325 
        38     0.0875     0.0046     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0268 
        39     0.0338     0.0136     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0249 
        40     0.2158     0.0189     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0356 
        41     0.0000     0.0342     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0320 
        42     0.0000     0.0179     0.0454     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0242 
        43     0.0000     0.0442     0.1464     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0747 
        44     0.6931     0.0515     0.0580     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0660 
        45     0.0000     0.0184     0.0387     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0310 
        46     0.3804     0.0189     0.0582     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0564 
        47     0.0000     0.0143     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0197 
        48     0.2158     0.0042     0.0130     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0259 
        49     0.0000     0.0139     0.0286     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0266 
        50     0.0000     0.0870     0.0071     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0560 
        51     0.2158     0.0838     0.0473     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0825 
        52     0.0000     0.0245     0.0560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0446 
        53     0.0000     0.0833     0.0567     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0652 
        54     0.0000     0.3890     0.0331     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0637 
        55     0.0000     0.1879     0.0261     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0417 
        56     0.0000     0.1126     0.0140     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0232 
        57     0.0000     0.3890     0.0532     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0822 
        58     0.0000     0.1662     0.0232     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0622 
        59     0.0000     0.0027     0.0441     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0480 
        60     0.0000     0.1023     0.0271     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0406 
        61     0.0000     0.0169     0.0225     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0357 
        62     0.0000     0.2158     0.0178     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0242 
        63     0.0000     0.6931     0.0215     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0283 
        64     0.0000     0.4539     0.0141     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0493 
        65     0.0000     0.3183     0.0218     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0363 
        66     0.0000     0.0902     0.0701     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0720 
        67     0.0000     0.0856     0.0533     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0586 
        68     0.0000     0.0956     0.0225     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0279 
        69     0.0000     0.2725     0.0138     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0323 
        70     0.0000     0.1323     0.0684     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0741 
        71     0.0000     0.2158     0.0479     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0609 
        72     0.0000     0.6931     0.0084     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0221 
        73     0.0000     0.6931     0.0366     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0498 
        74     0.0000     0.6931     0.0592     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0719 
        75     0.0000     0.0566     0.0291     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0308 
        76     0.0000     0.6931     0.0372     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0438 
        77     0.0000     0.2158     0.0265     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0400 
        78     0.0000     0.6931     0.0222     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0290 
        79     0.0000     0.2158     0.0714     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0835 
        80     0.0000     0.2158     0.0517     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0572 
        81     0.0000     0.0000     0.0000     0.0681     0.0000     0.0000     0.0000     0.0000     0.0000     0.0681 
        82     0.0000     0.0000     0.0000     0.0356     0.0000     0.0000     0.0000     0.0000     0.0000     0.0356 
        83     0.0000     0.0000     0.0000     0.0736     0.0000     0.0000     0.0000     0.0000     0.0000     0.0736 
        84     0.0000     0.0000     0.0000     0.0445     0.0000     0.0000     0.0000     0.0000     0.0000     0.0445 
        85     0.0000     0.0000     0.0000     0.0877     0.0000     0.0000     0.0000     0.0000     0.0000     0.0877 
        86     0.0000     0.0000     0.0000     0.0481     0.0000     0.0000     0.0000     0.0000     0.0000     0.0481 
        87     0.0000     0.0000     0.0000     0.0363     0.0000     0.0000     0.0000     0.0000     0.0000     0.0363 
        88     0.0000     0.0000     0.0000     0.0311     0.0000     0.0000     0.0000     0.0000     0.0000     0.0311 
        89     0.0000     0.0000     0.0000     0.0459     0.0000     0.0000     0.0000     0.0000     0.0000     0.0459 
        90     0.0000     0.0000     0.0000     0.0807     0.0000     0.0000     0.0000     0.0000     0.0000     0.0807 
        91     0.0000     0.0000     0.0000     0.0831     0.0000     0.0000     0.0000     0.0000     0.0000     0.0831 
        92     0.0000     0.0000     0.0000     0.1239     0.0000     0.0000     0.0000     0.0000     0.0000     0.1239 
        93     0.0000     0.0000     0.0000     0.1148     0.0000     0.0000     0.0000     0.0000     0.0000     0.1148 
        94     0.0000     0.0000     0.0000     0.1179     0.0000     0.0000     0.0000     0.0000     0.0000     0.1179 
        95     0.0000     0.0000     0.0000     0.0771     0.0000     0.0000     0.0000     0.0000     0.0000     0.0771 
        96     0.0000     0.0000     0.0000     0.1227     0.0000     0.0000     0.0000     0.0000     0.0000     0.1227 
        97     0.0000     0.0000     0.0000     0.1359     0.0000     0.0000     0.0000     0.0000     0.0000     0.1359 
        98     0.0000     0.0000     0.0000     0.1081     0.0000     0.0000     0.0000     0.0000     0.0000     0.1081 
        99     0.0000     0.0000     0.0000     0.2016     0.0000     0.0000     0.0000     0.0000     0.0000     0.2016 
       100     0.0000     0.0000     0.0000     0.1446     0.6931     0.0000     0.0000     0.0000     0.0000     0.1501 
       101     0.0000     0.0000     0.0000     0.1715     0.0000     0.0000     0.0000     0.0000     0.0000     0.1715 
       102     0.0000     0.0000     0.0000     0.1161     0.0000     0.0000     0.0000     0.0000     0.0000     0.1161 
       103     0.0000     0.0000     0.0000     0.0685     0.6931     0.0000     0.0000     0.0000     0.0000     0.0746 
       104     0.0000     0.0000     0.0000     0.1287     0.0000     0.0000     0.0000     0.0000     0.0000     0.1287 
       105     0.0000     0.0000     0.0000     0.1200     0.0000     0.0000     0.0000     0.0000     0.0000     0.1200 
       106     0.0000     0.0000     0.0000     0.1032     0.0000     0.0000     0.0000     0.0000     0.0000     0.1032 
       107     0.0000     0.0000     0.0000     0.0687     0.6931     0.0000     0.0000     0.0000     0.0000     0.0751 
       108     0.0000     0.0000     0.0000     0.1366     0.6931     0.0000     0.0000     0.0000     0.0000     0.1531 
       109     0.0000     0.0000     0.0000     0.2309     0.3804     0.0000     0.0000     0.0000     0.0000     0.2406 
       110     0.0000     0.0000     0.0000     0.1370     0.6931     0.0000     0.0000     0.0000     0.0000     0.1592 
       111     0.0000     0.0000     0.0000     0.1423     0.2158     0.0000     0.0000     0.0000     0.0000     0.1453 
       112     0.0000     0.0000     0.0000     0.1181     0.6931     0.0000     0.0000     0.0000     0.0000     0.1239 
       113     0.0000     0.0000     0.0000     0.1900     0.2948     0.0000     0.0000     0.0000     0.0000     0.2081 
       114     0.0000     0.0000     0.0000     0.1861     0.2406     0.0000     0.0000     0.0000     0.0000     0.1967 
       115     0.0000     0.0000     0.0000     0.1906     0.2310     0.0000     0.0000     0.0000     0.0000     0.1979 
       116     0.0000     0.0000     0.0000     0.1924     0.2031     0.0000     0.0000     0.0000     0.0000     0.2053 
       117     0.0000     0.0000     0.0000     0.1852     0.3095     0.0000     0.0000     0.0000     0.0000     0.2471 
       118     0.0000     0.0000     0.0000     0.2825     0.2593     0.0000     0.0000     0.0000     0.0000     0.2843 
       119     0.0000     0.0000     0.0000     0.4002     0.1863     0.0000     0.0000     0.0000     0.0000     0.3026 
       120     0.0000     0.0000     0.0000     0.4641     0.1513     0.0000     0.0000     0.0000     0.0000     0.3009 
       121     0.0000     0.0000     0.0000     0.4993     0.1057     0.0000     0.0000     0.0000     0.0000     0.2196 
       122     0.0000     0.0000     0.0000     0.4152     0.1854     0.0000     0.0000     0.0000     0.0000     0.2362 
       123     0.0000     0.0000     0.0000     0.4969     0.1116     0.0000     0.0000     0.0000     0.0000     0.1517 
       124     0.0000     0.0000     0.0000     0.2158     0.0803     0.0000     0.0000     0.0000     0.0000     0.0925 
       125     0.0000     0.0000     0.0000     0.6931     0.1400     0.0000     0.0000     0.0000     0.0000     0.1628 
       126     0.0000     0.0000     0.0000     0.6931     0.2042     0.0000     0.0000     0.0000     0.0000     0.2191 
       127     0.0000     0.0000     0.0000     0.6931     0.0906     0.0000     0.0000     0.0000     0.0000     0.1088 
       128     0.0000     0.0000     0.0000     0.6931     0.0843     0.0000     0.0000     0.0000     0.0000     0.1092 
       129     0.0000     0.0000     0.0000     0.6931     0.1793     0.0000     0.0000     0.0000     0.0000     0.1995 
       130     0.0000     0.0000     0.0000     0.6931     0.1655     0.0000     0.0000     0.0000     0.0000     0.1814 
       131     0.0000     0.0000     0.0000     0.6931     0.2252     0.0000     0.0000     0.0000     0.0000     0.2407 
       132     0.0000     0.0000     0.0000     0.0000     0.1553     0.0000     0.0000     0.0000     0.0000     0.1607 
       133     0.0000     0.0000     0.0000     0.6931     0.2289     0.0000     0.0000     0.0000     0.0000     0.2334 
       134     0.0000     0.0000     0.0000     0.0000     0.2029     0.0000     0.0000     0.0000     0.0000     0.2078 
       135     0.0000     0.0000     0.0000     0.6931     0.2419     0.0000     0.0000     0.0000     0.0000     0.2465 
       136     0.0000     0.0000     0.0000     0.0000     0.2453     0.0000     0.0000     0.0000     0.0000     0.2453 
       137     0.0000     0.0000     0.0000     0.0000     0.3014     0.0000     0.4127     0.0000     0.0000     0.3135 
       138     0.0000     0.0000     0.0000     0.0000     0.2912     0.0000     0.4514     0.0000     0.0000     0.3408 
       139     0.0000     0.0000     0.0000     0.0000     0.3953     0.0000     0.2492     0.0000     0.0000     0.3274 
       140     0.0000     0.0000     0.0000     0.0000     0.4673     0.0000     0.2233     0.0000     0.0000     0.2887 
       141     0.0000     0.0000     0.0000     0.0000     0.5536     0.0000     0.2547     0.0000     0.0000     0.3230 
       142     0.0000     0.0000     0.0000     0.0000     0.5988     0.0000     0.1645     0.0000     0.0000     0.2453 
       143     0.0000     0.0000     0.0000     0.0000     0.6931     0.0000     0.1746     0.0000     0.0000     0.2401 
       144     0.0000     0.0000     0.0000     0.0000     0.4969     0.0000     0.1701     0.0000     0.0000     0.2056 
       145     0.0000     0.0000     0.0000     0.0000     0.6931     0.0000     0.1719     0.0000     0.0000     0.1987 
       146     0.0000     0.0000     0.0000     0.0000     0.6931     0.0000     0.1926     0.0000     0.0000     0.2079 
       147     0.0000     0.0000     0.0000     0.0000     0.6931     0.0000     0.1527     0.0000     0.0000     0.1697 
       148     0.0000     0.0000     0.0000     0.0000     0.6931     0.0000     0.1442     0.0000     0.0000     0.1550 
       149     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.1552     0.0000     0.0000     0.1552 
       150     0.0000     0.0000     0.0000     0.0000     0.0000     0.6931     0.0000     0.1284     0.3109     0.1799 
       151     0.0000     0.0000     0.0000     0.0000     0.0000     0.2158     0.0000     0.0800     0.1210     0.0971 
       152     0.0000     0.0000     0.0000     0.0000     0.0000     0.2158     0.0000     0.1549     0.3552     0.1974 
       153     0.0000     0.0000     0.0000     0.0000     0.0000     0.3183     0.0000     0.1559     0.2850     0.1939 
       154     0.0000     0.0000     0.0000     0.0000     0.0000     0.6931     0.0000     0.1417     0.2278     0.1882 
       155     0.0000     0.0000     0.0000     0.0000     0.0000     0.6931     0.0000     0.1730     0.2975     0.2167 
       156     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.1369     0.1665     0.1437 
       157     0.0000     0.0000     0.0000     0.0000     0.0000     0.6931     0.0000     0.0963     0.3713     0.1629 
       158     0.0000     0.0000     0.0000     0.0000     0.0000     0.6931     0.0000     0.1427     0.2903     0.1678 
       159     0.0000     0.0000     0.0000     0.0000     0.0000     0.6931     0.0000     0.1388     0.2982     0.1635 
